Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Points,MU_goals
18-19,11/3/2018,Bournemouth,Man United,1,2,A,1,1,18,18,7,8,12,12,9,5,4,3,0,0,3,2
18-19,11/11/2018,Man City,Man United,3,1,H,1,0,17,6,5,1,12,12,5,1,1,1,0,0,0,1
18-19,11/24/2018,Man United,Crystal Palace,0,0,D,0,0,12,13,5,2,13,12,10,3,1,2,0,0,1,0
18-19,12/1/2018,Southampton,Man United,2,2,D,2,2,16,11,6,5,12,13,3,5,4,4,0,0,1,2
18-19,12/5/2018,Man United,Arsenal,2,2,D,1,1,10,9,7,4,13,10,4,4,3,3,0,0,1,2
18-19,12/8/2018,Man United,Fulham,4,1,H,3,0,20,10,11,4,11,15,10,3,1,1,0,1,3,4
19-20,8/11/2019,Man United,Chelsea,4,0,H,1,0,11,18,5,7,15,13,3,5,3,4,0,0,3,4
19-20,8/19/2019,Wolves,Man United,1,1,D,0,1,6,9,2,2,17,8,4,6,2,2,0,0,1,1
19-20,8/24/2019,Man United,Crystal Palace,1,2,A,0,1,22,5,3,3,8,18,8,1,2,4,0,0,0,1
19-20,8/31/2019,Southampton,Man United,1,1,D,0,1,10,21,2,8,17,7,2,3,1,2,1,0,1,1
19-20,9/14/2019,Man United,Leicester,1,0,H,1,0,10,9,5,3,14,14,3,9,1,2,0,0,3,1
19-20,9/22/2019,West Ham,Man United,2,0,H,1,0,8,9,6,3,8,9,3,7,2,2,0,0,0,0
19-20,9/30/2019,Man United,Arsenal,1,1,D,1,0,16,10,4,5,18,13,8,7,4,2,0,0,1,1
19-20,10/6/2019,Newcastle,Man United,1,0,H,0,0,12,12,2,3,12,10,4,6,3,3,0,0,0,0
19-20,10/20/2019,Man United,Liverpool,1,1,D,1,0,7,10,2,4,6,14,3,1,0,1,0,0,1,1
19-20,10/27/2019,Norwich,Man United,1,3,A,0,2,10,21,3,11,13,10,1,10,2,2,0,0,3,3
19-20,11/2/2019,Bournemouth,Man United,1,0,H,1,0,12,15,6,4,14,12,4,10,4,3,0,0,0,0
19-20,11/10/2019,Man United,Brighton,3,1,H,2,0,21,6,11,2,10,14,5,2,2,5,0,0,3,3
19-20,11/24/2019,Sheffield United,Man United,3,3,D,1,0,12,11,8,5,13,10,6,3,1,2,0,0,1,3
19-20,12/1/2019,Man United,Aston Villa,2,2,D,1,1,16,9,6,3,16,8,9,9,4,1,0,0,1,2
19-20,12/4/2019,Man United,Tottenham,2,1,H,1,1,12,8,7,5,9,9,4,3,0,1,0,0,3,2
19-20,12/7/2019,Man City,Man United,1,2,A,0,2,22,11,5,7,10,10,16,3,3,2,0,0,3,2
19-20,12/15/2019,Man United,Everton,1,1,D,0,1,24,8,8,3,10,12,6,5,1,2,0,0,1,1
19-20,12/22/2019,Watford,Man United,2,0,H,0,0,11,17,3,8,16,11,3,5,3,1,0,0,0,0
19-20,12/26/2019,Man United,Newcastle,4,1,H,3,1,22,7,10,2,10,7,5,0,2,2,0,0,3,4
19-20,12/28/2019,Burnley,Man United,0,2,A,0,1,8,14,1,5,17,10,5,4,4,3,0,0,3,2
19-20,1/1/2020,Arsenal,Man United,2,0,H,2,0,10,10,4,4,11,15,1,4,2,0,0,0,0,0
19-20,1/11/2020,Man United,Norwich,4,0,H,1,0,13,8,6,3,18,7,4,2,0,0,0,0,3,4
19-20,1/19/2020,Liverpool,Man United,2,0,H,1,0,16,9,5,4,7,10,11,5,1,3,0,0,0,0
19-20,1/22/2020,Man United,Burnley,0,2,A,0,1,24,5,7,2,11,7,5,2,0,2,0,0,0,0
19-20,2/1/2020,Man United,Wolves,0,0,D,0,0,15,14,5,3,14,15,4,6,3,2,0,0,1,0
19-20,2/17/2020,Chelsea,Man United,0,2,A,0,1,17,9,1,3,11,11,9,8,4,3,0,0,3,2
20-21,9/19/2020,Man United,Crystal Palace,1,3,A,0,1,13,14,4,5,13,10,9,3,2,1,0,0,0,1
20-21,9/26/2020,Brighton,Man United,2,3,A,1,1,18,7,5,3,18,16,7,1,4,2,0,0,3,3
20-21,10/4/2020,Man United,Tottenham,1,6,A,1,4,5,22,2,8,14,10,2,4,2,1,1,0,0,1
20-21,10/17/2020,Newcastle,Man United,1,4,A,1,1,7,28,4,14,9,12,0,7,1,1,0,0,3,4
